,,,,,,,,,,,,,,Per Game,,,,,,Shooting,,,,Advanced,
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
34,2016,NBA,1,5,MIN,Kris Dunn,22.103,G,us,Providence College,2017,2018,123,21.6,7.3,3,3.7,1.4,0.5,0.408,0.435,0.301,0.671,0.5,0.01
35,2017,NBA,1,5,SAC,De'Aaron Fox,19.189,G,us,University of Kentucky,2018,2018,54,27.5,11.5,2.6,4.3,1,0.3,0.415,0.431,0.343,0.736,-0.5,-0.018
36,2011,NBA,1,6,WAS,Jan Vesely,21.065,F,cz,,2012,2014,162,15.2,3.6,3.5,0.6,0.7,0.5,0.521,0.523,0,0.408,4,0.078
37,2012,NBA,1,6,POR,Damian Lillard,21.354,G,us,Weber State University,2013,2018,451,36.4,22.9,4.1,6.2,0.9,0.3,0.433,0.477,0.369,0.882,54.5,0.159
38,2013,NBA,1,6,NOH,Nerlens Noel,19.083,C-F,us,University of Kentucky,2015,2018,212,26.2,9.5,7.2,1.4,1.5,1.4,0.512,0.512,0.333,0.625,11.5,0.099
39,2014,NBA,1,6,BOS,Marcus Smart,20.117,G,us,Oklahoma State University,2015,2018,257,28.7,9.4,3.7,3.9,1.5,0.4,0.36,0.422,0.293,0.756,10.6,0.069
40,2015,NBA,1,6,SAC,Willie Cauley-Stein,21.316,F-C,us,University of Kentucky,2016,2018,198,22.3,9.1,5.5,1.2,0.8,0.8,0.524,0.528,0.133,0.64,9.3,0.102
41,2016,NBA,1,6,NOP,Buddy Hield,22.194,G,bs,University of Oklahoma,2017,2018,142,23.5,11.5,3.4,1.5,0.7,0.2,0.432,0.455,0.406,0.86,2.9,0.041
42,2017,NBA,1,6,ORL,Jonathan Isaac,19.267,F,us,Florida State University,2018,2018,15,19,5.3,3.7,0.7,0.7,1,0.405,0.446,0.278,0.778,0.1,0.016
43,2011,NBA,1,7,SAC,Bismack Biyombo,18.303,C-F,cd,,2012,2018,508,21.1,5,6.5,0.5,0.3,1.5,0.514,0.514,0,0.565,20.2,0.09
44,2012,NBA,1,7,GSW,Harrison Barnes,20.034,F,us,University of North Carolina,2013,2018,446,30.2,12.8,4.9,1.5,0.7,0.2,0.452,0.482,0.366,0.787,25.4,0.09
45,2013,NBA,1,7,SAC,Ben McLemore,20.141,G,us,University of Kansas,2014,2018,331,24.5,9,2.5,1.2,0.7,0.2,0.415,0.467,0.349,0.785,4,0.023
46,2014,NBA,1,7,LAL,Julius Randle,19.214,F-C,us,University of Kentucky,2015,2018,217,27.5,12.9,8.9,2.6,0.6,0.5,0.487,0.502,0.257,0.71,9.5,0.076
47,2015,NBA,1,7,DEN,Emmanuel Mudiay,19.116,G,cd,,2016,2018,171,25.6,11.1,3.1,4.3,0.8,0.3,0.376,0.397,0.323,0.731,-1.5,-0.016
48,2016,NBA,1,7,DEN,Jamal Murray,19.125,G,ca,University of Kentucky,2017,2018,142,25.3,12.6,3,2.5,0.7,0.3,0.435,0.494,0.358,0.903,5.4,0.072
49,2017,NBA,1,7,MIN,Lauri Markkanen,20.036,F-C,fi,University of Arizona,2018,2018,55,30.4,14.8,7.6,1.2,0.5,0.6,0.424,0.495,0.345,0.854,2.3,0.067
50,2011,NBA,1,8,DET,Brandon Knight,19.208,G,us,University of Kentucky,2012,2017,382,31.3,15.2,3.3,4.3,0.9,0.2,0.415,0.445,0.357,0.812,11.6,0.047
51,2012,NBA,1,8,TOR,Terrence Ross,21.149,F-G,us,University of Washington,2013,2018,409,23.9,9.6,2.6,1,0.8,0.3,0.422,0.476,0.371,0.797,15,0.074
52,2013,NBA,1,8,DET,Kentavious Caldwell-Pope,20.134,G,us,University of Georgia,2014,2018,367,30.6,11.9,3.3,1.7,1.2,0.2,0.409,0.462,0.341,0.778,18.4,0.078
53,2014,NBA,1,8,SAC,Nik Stauskas,20.267,G,ca,University of Michigan,2015,2018,259,21.4,7.1,2.1,1.6,0.4,0.3,0.386,0.435,0.349,0.807,2.7,0.023
54,2015,NBA,1,8,DET,Stanley Johnson,19.031,F,us,University of Arizona,2016,2018,200,22.3,6.9,3.4,1.5,0.9,0.2,0.371,0.418,0.297,0.768,2.5,0.027
55,2016,NBA,1,8,SAC,Marquese Chriss,18.361,F,us,University of Washington,2017,2018,137,20.9,8.2,4.6,0.9,0.8,0.9,0.431,0.506,0.31,0.607,2,0.033
56,2017,NBA,1,8,NYK,Frank Ntilikina,18.334,G,be,,2018,2018,59,20.5,5.4,2.2,3.1,0.9,0.2,0.36,0.376,0.324,0.698,-0.8,-0.031
